departamento,anio,poblacion_total,tasa_vif_total,tasa_divorcios_10k,vif_alto,div_alto,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,regimen
Guatemala,2015,3015081,20.443895205468774,8.978199922323812,False,True,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Resolucion_legal
Huehuetenango,2015,1170669,8.59337694941952,1.8707252007185633,False,False,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Baja_conflictividad
Izabal,2015,408688,14.191755079669576,4.722428845476256,False,True,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Resolucion_legal
Jalapa,2015,342923,20.90848382873123,3.965904882437165,False,False,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Baja_conflictividad
Jutiapa,2015,488395,17.117292355572847,6.900152540464173,False,True,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Resolucion_legal
Petén,2015,545600,23.44208211143695,3.280791788856305,True,False,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Violencia_atrapada
Quetzaltenango,2015,799101,22.21246125333343,6.106862586831952,True,True,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Conflicto_visible
Quiché,2015,949261,11.429943924800451,1.9278154269479102,False,False,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Baja_conflictividad
Retalhuleu,2015,326828,46.07928329274114,5.782858261838031,True,True,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Conflicto_visible
Sacatepéquez,2015,330469,47.145117998965105,4.599523707216108,True,True,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Conflicto_visible
San Marcos,2015,1032277,19.40370656325773,2.98369526783993,False,False,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Baja_conflictividad
Santa Rosa,2015,396607,23.953182873726384,5.496625122602476,True,True,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Conflicto_visible
Sololá,2015,421583,15.085997300650169,1.6604085079331945,False,False,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Baja_conflictividad
Suchitepéquez,2015,554695,40.00396614355636,3.9120597806001496,True,False,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Violencia_atrapada
Totonicapán,2015,418569,12.208261959199081,2.8669108319058507,False,False,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Baja_conflictividad
Zacapa,2015,245374,24.819255503843113,7.661773456030386,True,True,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Conflicto_visible
Alta Verapaz,2016,1215038,28.772762662566933,0.9382422607358781,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2016,299476,24.91017644151785,3.840040604255433,True,True,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Conflicto_visible
Chimaltenango,2016,615776,27.250168892584316,1.7214051863015123,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2016,415063,9.926203973854571,3.8066510385170447,False,False,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Baja_conflictividad
El Progreso,2016,176632,38.15843108836451,5.378413877440101,True,True,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Conflicto_visible
