departamento,anio,poblacion_total,vif_fisica_consolidada,vif_psicologica_consolidada,vif_patrimonial_consolidada,tasa_fisica,tasa_psicologica,tasa_patrimonial,tasa_divorcios_10k,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,vif_predominante
Jutiapa,2016,488395,492,940,121,10.073813204475885,19.24671628497425,2.477502840938175,4.811679071243563,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Psicologica
Petén,2016,545600,644,1041,108,11.803519061583579,19.079912023460412,1.9794721407624634,2.272727272727273,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Psicologica
Quetzaltenango,2016,799101,1230,1451,151,15.392297093859224,18.157904945682713,1.8896234643680836,5.068195384563404,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Psicologica
Quiché,2016,949261,938,952,842,9.88137087692426,10.02885402434104,8.87005786606634,1.7487287479418199,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Psicologica
Retalhuleu,2016,326828,1104,1513,168,33.77923556121262,46.293463228364764,5.140318454967138,5.721663994516994,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Psicologica
Sacatepéquez,2016,330469,881,1321,84,26.659081487219677,39.973492218634725,2.541842048724691,4.024583243814094,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Psicologica
San Marcos,2016,1032277,1350,1564,255,13.077885102545151,15.15097207435601,2.470267186036306,2.257146095476311,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Psicologica
Santa Rosa,2016,396607,609,950,174,15.355250915894072,23.953182873726384,4.387214547398306,4.513283930944235,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Psicologica
Sololá,2016,421583,358,426,51,8.491803512001196,10.104771776850583,1.2097261986370418,1.4943676571398752,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Psicologica
Suchitepéquez,2016,554695,1445,1879,198,26.05035199524063,33.87447155644093,3.5695292007319335,3.3892499481697147,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Psicologica
